     x            y
  0.11   0.12327189
  0.17   0.24769585
  0.34   0.39516129
  0.44   0.46658986
  0.51   0.57258065
  0.68   0.75230415
  0.81   0.81451613
  0.79   0.70622120
  0.61   0.55414747
  0.50   0.46198157
  0.43   0.34447005
  0.27   0.18548387
  0.12   0.11175115
  0.50   0.58625731
  0.63   0.65350877
  0.65   0.60672515
  0.55   0.48099415
  0.40   0.36695906
  0.36   0.39912281
  0.45   0.54532164
  0.60   0.63596491
  0.63   0.58625731
  0.53   0.46052632
  0.39   0.35526316
  0.35   0.39619883
  0.44   0.49853801
