    xt           yt
  0.11   0.10712280
  0.11   0.10713214
  0.11   0.10721356
  0.11   0.10737413
  0.11   0.10762044
  0.11   0.10795852
  0.11   0.10839370
  0.11   0.10893060
  0.11   0.10957298
  0.11   0.11032371
  0.11   0.11118474
  0.11   0.11215707
  0.11   0.11324073
  0.11   0.11443483
  0.12   0.11573754
  0.12   0.11714623
  0.12   0.11865746
  0.12   0.12026715
  0.12   0.12197063
  0.12   0.12376283
  0.12   0.12563835
  0.13   0.12759166
  0.13   0.12961725
  0.13   0.13170976
  0.13   0.13386414
  0.13   0.13607584
  0.14   0.13834090
  0.14   0.14065609
  0.14   0.14301905
  0.14   0.14542835
  0.15   0.14788356
  0.15   0.15038532
  0.15   0.15293532
  0.15   0.15553633
  0.16   0.15819210
  0.16   0.16090736
  0.16   0.16368766
  0.17   0.16653927
  0.17   0.16946905
  0.17   0.17248424
  0.17   0.17559228
  0.18   0.17880061
  0.18   0.18211648
  0.18   0.18554666
  0.19   0.18909731
  0.19   0.19277368
  0.19   0.19657997
  0.20   0.20051912
  0.20   0.20459261
  0.21   0.20880039
  0.21   0.21314070
  0.22   0.21761003
  0.22   0.22220306
  0.22   0.22691265
  0.23   0.23172991
  0.23   0.23664423
  0.24   0.24164341
  0.24   0.24671383
  0.25   0.25184060
  0.25   0.25700779
  0.26   0.26219868
  0.26   0.26739602
  0.27   0.27258230
  0.28   0.27774009
  0.28   0.28285225
  0.29   0.28790233
  0.29   0.29287478
  0.30   0.29775524
  0.30   0.30253082
  0.30   0.30719028
  0.31   0.31172424
  0.31   0.31612535
  0.32   0.32038836
  0.32   0.32451023
  0.33   0.32849011
  0.33   0.33232934
  0.33   0.33603139
  0.34   0.33960170
  0.34   0.34304755
  0.34   0.34637786
  0.35   0.34960292
  0.35   0.35273417
  0.35   0.35578387
  0.36   0.35876484
  0.36   0.36169008
  0.36   0.36457250
  0.37   0.36742458
  0.37   0.37025806
  0.37   0.37308368
  0.37   0.37591090
  0.38   0.37874769
  0.38   0.38160031
  0.38   0.38447319
  0.39   0.38736883
  0.39   0.39028772
  0.39   0.39322837
  0.39   0.39618732
  0.40   0.39915928
  0.40   0.40213723
  0.40   0.40511262
  0.41   0.40807561
  0.41   0.41101531
  0.41   0.41392006
  0.42   0.41677776
  0.42   0.41957617
  0.42   0.42230325
  0.42   0.42494745
  0.43   0.42749807
  0.43   0.42994553
  0.43   0.43228162
  0.43   0.43449976
  0.44   0.43659523
  0.44   0.43856525
  0.44   0.44040917
  0.44   0.44212846
  0.44   0.44372680
  0.44   0.44520997
  0.45   0.44658579
  0.45   0.44786398
  0.45   0.44905597
  0.45   0.45017468
  0.45   0.45123426
  0.45   0.45224979
  0.45   0.45323699
  0.45   0.45421189
  0.45   0.45519049
  0.46   0.45618843
  0.46   0.45722070
  0.46   0.45830131
  0.46   0.45944303
